BookTitle,Author,clean_summary
David Copperfield,Charles Dickens,the story traces the life of david copperfield from childhood to maturity david was born in blunderston near great yarmouth norfolk england in six months after the death of his father seven years later his mother re marries edward murdstone david is given good reason to dislike his stepfather and has similar feelings for murdstones sister jane who moves into the house soon afterwards murdstone thrashes david for falling behind in his studies following one of these thrashings david bites him and soon afterward is sent away to a boarding school salem house with a ruthless headmaster mr creakle there he befriends james steerforth and tommy traddles david returns home for the holidays to learn that his mother has given birth to a baby boy shortly after david returns to salem house his mother and her baby die and david returns home immediately murdstone sends him to work in a factory in london of which murdstone is a joint owner copperfields landlord wilkins micawber is sent to debtors prison the kings bench prison and remains there for several months before being released and moving to plymouth no one remains to care for david in london so he decides to run away he walks from london to dover where he finds his only relative his unmarried eccentric aunt betsey trotwood she agrees to raise him despite murdstones attempt to regain custody of david davids aunt renames him trotwood copperfield and addresses him as trot and it becomes one of several names to which david answers in the course of the novel as david grows to adulthood a variety of characters enter leave and re enter his life these include peggotty his mothers faithful former housekeeper and peggottys family including her orphaned niece little emly who moves in with them and charms the young david davids romantic but self serving school friend steerforth seduces and dishonours little emly precipitating the novels greatest tragedy and his landlords daughter agnes wickfield becomes his confidante the novels two most familiar characters are davids sometime mentor the debt ridden micawber and the devious and fraudulent clerk uriah heep whose misdeeds are eventually revealed with micawbers assistance micawber is painted sympathetically even as the narrator deplores his financial ineptitude micawber like dickens own father is briefly imprisoned for insolvency the major characters eventually get some measure of what they deserve and few narrative threads are left hanging dan peggotty safely transports emily to a new life in australia accompanied by gummidge and the micawbers all eventually find security and happiness in their adopted country david marries the beautiful but na ve dora spenlow who dies after failing to recover from a miscarriage early in their marriage david then searches his soul and marries the sensible agnes who had always loved him and with whom he finds true happiness david and agnes then have three children including a daughter named after his aunt betsey trotwood
Childhood's End,Arthur C. Clarke,the novel is divided into three parts following a third person omniscient narrative with no main character in the late th century the united states and the soviet union are competing to launch the first spaceship into orbit to military ends however when vast alien spaceships suddenly position themselves above earths principal cities the space race is halted forever after one week the aliens announce they are assuming supervision of international affairs to prevent humanitys extinction as the overlords they bring peace and they claim that interference will be limited they interfere only twice with human affairs in south africa where sometime before their arrival apartheid had collapsed and was replaced with savage persecution of the white minority and in spain where they put an end to bull fighting some humans are suspicious of the overlords benign intent as they never appear in physical form overlord karellen the supervisor for earth speaks directly only to rikki stormgren the finnish un secretary general karellen tells stormgren that the overlords will reveal themselves in years when humanity will have become used to their presence stormgren smuggles a device onto karellens ship in an attempt to see karellens true form he succeeds is shocked and chooses to keep silent humankind enters a golden age of prosperity at the expense of creativity as promised five decades after their arrival the overlords appear for the first time they resemble the traditional human folk images of demons large bipeds with leathery wings horns and tails the overlords are interested in psychic research which humans suppose is part of their anthropological study rupert boyce a prolific book collector on the subject allows one overlord rashaverak to study these books at his home to impress his friends with rashaveraks presence boyce holds a party during which he makes use of a ouija board an astrophysicist jan rodricks asks the identity of the overlords home star george greggsons wife jean faints as the ouija board reveals a star catalog number confirming the direction in which overlord supply ships appear and disappear jan rodricks stows away on an overlord supply ship and travels light years to their home planet due to the time dilation of special relativity at near light speeds the elapsed time on the ship is only a few weeks and he arranges to endure it in drug induced suspended animation although humanity and the overlords have peaceful relations some believe human innovation is being suppressed and that culture is becoming stagnant these groups establish new athens an island colony devoted to the creative arts which george and jean greggson join the overlords conceal a special interest in the greggsons children jeffrey and jennifer anne and intervene to save jeffreys life when a tsunami strikes the island the overlords have been watching them since the incident with the ouija board which revealed the seed of the coming transformation hidden within jean sixty years after the overlords arrival human children including the greggsons begin to display telekinetic powers karellen reveals the overlords purpose they serve the overmind a vast cosmic intelligence born of amalgamated ancient civilizations and freed from the limitations of material existence yet the overlords themselves are strangely unable to join the overmind but serve it as a bridge species charged with fostering other races eventual merger with it because of this karellen expresses his envy of humanity for the transformed childrens safety they are segregated on a continent of their own no more human children are born and many parents find their lives stripped of meaning and die or commit suicide new athens is destroyed by its members with a nuclear bomb jan rodricks emerges from hibernation on the overlord supply ship and arrives on their planet the overlords permit him a glimpse of how the overmind communicates with them when jan returns to earth approximately years later by earth time he finds an unexpectedly altered planet humanity has effectively become extinct and he is now the last man alive hundreds of millions of children no longer fitting with what rodricks defines as human remain on the quarantined continent barely moving with eyes closed and communicating by telepathy they are the penultimate form of human evolution having become a single group mind readying themselves to join the overmind some overlords remain on earth to study the children from a safe distance when the evolved children mentally alter the moons rotation and make other planetary manipulations it becomes too dangerous to remain the departing overlords offer to take rodricks with them but he chooses to stay to witness earths end and transmits a report of what he sees the overlords are eager to escape from their own evolutionary dead end by studying the overmind so rodricks information is potentially of great value to them by radio rodricks describes a vast burning column ascending from the planet as the column disappears rodricks experiences a profound sense of emptiness when the overlords have gone then material objects and the earth itself begin to dissolve into transparency jan reports no fear but a powerful sense of fulfillment the earth evaporates in a flash of light karellen looks back at the receding solar system and gives a final salute to the human species
The Two Towers,J. R. R. Tolkien,as aragorn searches for frodo he suddenly hears boromirs horn he finds boromir mortally wounded by arrows his assailants gone before boromir dies aragorn also learns that merry and pippin were kidnapped by sarumans uruk hai in spite of his efforts to defend them and that frodo had vanished after boromir had tried to take the ring from him and that he truly regretted his actions in his last moments he charges aragorn to defend minas tirith from sauron with legolas and gimli who had been fighting orcs themselves aragorn pays his last respects to boromir and sends him down the great river anduin on a funeral boat the usual methods of burial being impractical aragorn legolas and gimli then resolve to follow the uruk hai captors meanwhile after some hardship merry and pippin escape when the uruk hai are attacked by the horsemen of rohan called the rohirrim or riders of rohan merry and pippin escape into the nearby fangorn forest where they encounter the giant treelike ents the ents resemble actual trees except they are able to see talk and move these guardians of the forest generally keep to themselves but after a long contemplation on whether or not the hobbits were friends or foes their leader treebeard persuades the ent council to oppose the menace posed to the forest by the wizard saruman as suggested by merry and pippin as treebeard realizes that sarumans minions have been cutting down large numbers of their trees to fuel the furnaces needed for sarumans arming of his dark army aragorn gimli and legolas come across the riders of rohan led by omer nephew of king th oden the trio learn that the horsemen had attacked a band of orcs the previous night and that they had left no survivors however aragorn is able to track a small set of prints that lead into fangorn where they see an old man who disappears almost as soon as they see him they assume him to be saruman shortly afterward the three meet gandalf again they at first take him to be saruman whom they believed had perished in the mines of moria he tells them of his fall into the abyss his battle to the death with the balrog and his resurrection and his enhanced power the four ride to rohans capital edoras where gandalf rouses king th oden from inaction against the threat saruman poses in the process sarumans spy in rohan and king th odens trusted advisor gr ma wormtongue is expelled from rohan aragorn gimli and legolas then travel with th odens troops to the fortress of hornburg in the valley of helms deep gandalf rides away before the battle begins though he gives no reason for doing so at the hornburg the army of rohan led by king th oden and aragorn resist a full scale onslaught by the hosts of saruman yet things begin to go ill with rohan until gandalf arrives with the remains of the army of westfold that sarumans forces had previously routed the tide now turns in rohans favour and sarumans orcs flee into a forest of huorns creatures similar to ents and none escape alive gandalf aragorn gimli and legolas along with king th oden and omer head to sarumans stronghold of isengard here they reunite with merry and pippin and find isengard overrun by ents who had flooded it by breaking a nearby dam of the river isen and the central tower of orthanc besieged with saruman and wormtongue trapped inside gandalf offers saruman a chance to repent but is refused and so casts saruman out of the order of wizards and the white council gr ma throws something from a window at gandalf but misses and it is picked up by pippin this object turns out to be one of the palant ri seeing stones pippin unable to resist the urge looks into it and encounters the eye of sauron but emerges unscathed from the ordeal gandalf and pippin then head for minas tirith in gondor in preparation for the imminent war against mordor while th oden merry and aragorn remain behind to begin the muster of rohan to ride to the aid of gondor frodo and sam discover and capture gollum who has been stalking them in their quest to reach mount doom and destroy the one ring as gollum attempts to reclaim the ring for himself sam loathes and distrusts him but frodo pities the poor creature gollum promises to lead the pair to the black gate of mordor and for a time appears to be like his old self sm agol he leads them through a hidden passage of the dead marshes in order to avoid being spied by orcs frodo and sam learn that the dead marshes were once part of an ancient battlefield upon which the war of the last alliance was fought upon reaching the black gate gollum persuades the hobbits not to enter where they would have been surely caught he tells them of a secret entrance to mordor thus they head south into gondors province of ithilien and are accosted by a group of gondorian rangers led by faramir the brother of boromir frodo learns from faramir of boromirs death faramir and the rangers lead sam and frodo into a secret hideout where sam accidentally reveals to faramir that frodo carries the one ring as a result of this frodo reveals the plan to destroy the ring in the fires of mount doom later that night gollum is captured diving for fish into the sacred pool the penalty for which is death frodo negotiates gollums freedom with faramir the following morning faramir allows them to go on their way but warns them that gollum may know more about the secret entrance cirith ungol than he has been telling them gollum leads them past the city of minas morgul and up a long steep staircase of the tower of cirith ungol into the lair of an enormous spider named shelob gollum hopes to get the ring from frodos bones after shelob is done with him the hobbits escape shelob in her lair and mistakenly assume that they are safe however shelob sneaks up on frodo sam attempts to warn frodo but is attacked by gollum shelob stings frodo in the back of the neck and he collapses to the ground sam fends off gollum and gollum runs off back towards shelobs cave sam then drives off shelob after seeing frodo lifeless and pale sam assumes that frodo is dead and debates chasing gollum and abandoning the quest in favour of vengeance sam resolves to finish the quest himself and takes the ring but when orcs take frodos body sam follows them and learns that frodo is not dead but only unconscious and is now a prisoner the book ends with the line frodo was alive but taken by the enemy
The Return of the King,J. R. R. Tolkien,gandalf and pippin arrive at minas tirith in the kingdom of gondor delivering the news to denethor the lord and steward of gondor that a devastating attack on his city by sauron the dark lord of mordor is imminent pippin then enters the service of the steward as repayment of a debt he owes to boromir denethors dead son and preferred heir now clad in the uniform of the tower guard pippin watches the fortunes of war unfold while denethor descends into madness as the hosts of mordor press ever closer to gondors capital city of minas tirith faramir boromirs younger brother returns from his campaign with the shattered remnants of his company and is soon ordered to ride out and continue the hopeless defence of osgiliath against a horde of orcs osgiliath is soon overrun and a gravely wounded faramir is carried back to denethor his people seemingly lost and his only remaining son all but dead denethor orders a funeral pyre built that is to claim both him and his dying son minas tirith stands encircled and besieged by the saurons main host composed of well over orcs meanwhile in rohan th oden and his rohirrim are recovering from the battle of the hornburg in which they defended rohan against the forces of saruman at great cost aragorn having confronted sauron through the palant r of isengard sets out to find the lost army of the undead oathbreakers who dwell in the paths of the dead a mountain hall because they did not help isildur during the war of the last alliance helped by his companions legolas and gimli as well as a company of rangers from arnor in the north the grey company he sets out to recruit the army of the dead to his cause as aragorn departs on his seemingly impossible task king th oden musters the rohirrim to come to the aid of gondor merry eager to go to war with his allies is refused by th oden several times finally dernhelm one of the rohirrim takes merry up on his horse so that he can accompany the rest of the rohirrim aided by a tribe of wild men of the woods th odens forces travel a long forgotten forest path to avoid an orc ambush on the main road and reach minas tirith stealthily the hosts of mordor led by the dreaded witch king of angmar succeed in breaking through the gates of minas tirith but are in turn crushed by the arriving cavalry of rohan the battle is also joined by a black fleet with black sails the forces of mordor initially rejoice at its arrival and then are horrified to see the banner of the king upon the ships aragorn has succeeded in using the oathbreakers to defeat the corsairs of umbar the men of gondor who were once slaves on the ships are brought back to fight the host of mordor in the following battle of the pelennor fields the witch king is slain by dernhelm revealed to be owyn the niece of king th oden with help from merry thus the siege is broken but at heavy cost many warriors of gondor and rohan fall among them king th oden denethor attempts to immolate himself and faramir on his funeral pyre but gandalf and pippin succeed in saving faramir who is subsequently healed by aragorn aragorn also heals merry and owyn who were hurt by the witch king before he fell knowing that it is only a matter of time before sauron rebuilds his forces for another attack gandalf and aragorn decide to draw out the hosts of mordor with an assault on the black gate providing a distraction so that frodo and sam may have a chance of reaching mount doom and destroy the one ring unseen by the eye of sauron gandalf and aragorn lead an army to the black gate of mordor and lay siege to saurons army the battle begins and the body of a troll he had killed falls onto pippin and he loses consciousness just as the great eagles arrive sam who now bears the one ring in frodos place rescues his master from torture and death by orcs in the tower of cirith ungol frodo and sam navigate the barren wasteland of mordor and are overtaken by a company of orcs but escape and are forced to disguise themselves in orcish armour gandalfs plan to distract sauron from the ring is successful mordor is almost empty as all the remaining orcs have been summoned to defend the land against the assault of the army led by gandalf and aragorn frodo and sam after a weary and dangerous journey finally reach their final destination of the crack of doom as frodo is preparing to throw the ring into mount doom he succumbs to the rings power and unknowingly claims it as his own just then gollum who had been following frodo and sam still attacks frodo and bites off his finger and the ring gollum gloats over getting his precious back but loses his balance and falls into his death taking the ring with him the ring is finally destroyed freeing middle earth from saurons power mount doom erupts violently trapping frodo and sam among the lava flows until the great eagles rescue them upon saurons defeat his armies at the gate flee sauron finally appears as a gigantic shadow trying to reach out for the armies of men but is now powerless and is blown away by a wind the men under saurons command that surrender are forgiven and allowed to return to their lands in peace aragorn is crowned king of gondor outside the walls of minas tirith in a celebration during which all four hobbits are greatly honoured for their contribution to the war of the ring a healed faramir is appointed prince of ithilien and steward of gondor and aragorn marries arwen daughter of elrond of rivendell after a series of goodbyes the hobbits finally return home only to find the shire in ruins its inhabitants oppressed by lotho sackville baggins usually called the chief or the boss who is in reality controlled by a shadowy figure called sharkey sharkey has taken complete control of the shire using corrupt men and begins felling trees in a gratuitous program of industrialization which actually produces nothing except destruction and misery for the locals merry pippin frodo and sam make plans to set things right once more they lead an uprising of hobbits and are victorious at the battle of bywater which effectively frees the shire at the very doorstep of bag end they meet sharkey who is revealed to be the evil wizard saruman and his servant gr ma obstinate in defeat saruman abuses gr ma who responds by slitting his masters throat gr ma is himself slain by hobbit archers as he attempts to escape over time the shire is healed the many trees that sarumans men cut down are replanted buildings are rebuilt and peace is restored sam marries rosie cotton with whom he had been entranced for some time merry and pippin lead buckland and tuckborough to greater achievements however frodo cannot escape the pain of his wounds having been stabbed by the witch king and poisoned by shelob in addition to losing a finger eventually frodo departs for the undying lands in the west along with gandalf bilbo baggins and many elves ending the third age sam merry and pippin watch gandalf bilbo frodo and the elves depart and return home now heir to all of frodos possessions sam is greeted by rosie and his daughter elanor and delivers his final spoken words of the book well im back
The Drawing of the Three,Stephen King,the book begins less than seven hours after the end of the dark tower the gunslinger after the man in black has described the gunslingers fate using tarot cards roland wakes up on a beach where he is suddenly attacked by a strange lobster like creature which he dubs a lobstrosity he kills the creature but not before losing the index and middle finger of his right hand and most of his right big toe his untreated wounds soon become infected feverish and losing strength roland continues to trek north along the beach where he eventually encounters three doors each door opens onto new york city at different periods in time and respectively and as roland passes through these doors he brings back the companions who will join him on his quest to the dark tower the first door labeled the prisoner brings eddie dean a heroin addict who is in the process of smuggling cocaine for the drug lord enrico balazar since eddie was headed deeper into addiction at the hands of his brother henry or prison at the hands of the government or worse at the hands of his drug lord he decides to throw his lot in with roland although with deep misgivings that he occasionally gives vent to in the form of angry outbursts the second door labeled the lady of shadows so called for her multiple personalities and metaphorically multiple shadows reveals odetta holmes a black woman who is active in the civil rights movement she is wealthy and missing her legs below the knees after being pushed in front of a subway car odetta is completely unaware that she has an alternate personality a violent predatory woman named detta roland and eddie are forced to contend with both of these personalities when odettas body is forcibly abducted into their world instead of revealing a new companion the third door labeled the pusher instead reveals a new adversary for roland jack mort a sociopath who takes sadistic pleasure in injuring and killing random strangers mdash and the man responsible for the head trauma that created odetta holmess alternate personality the loss of odetta dettas legs and the death of jake chambers morts murder of jake led to jakes appearance in the gunslinger rolands decisions while dealing with mort are crucial to later events in the series the encounter results in the death of jack mort and the fusing of the personalities of odetta and detta to form a third woman who will thenceforth be called susannah although the gunslinger does not bring the pusher with him into his own world as might be guessed based upon what has happened regarding the previous two doors his quest for the dark tower is not lost because roland does draw his third his third is susannah the result of odetta and dettas fusion of minds through his actions both in his world and in eddie susannah and jack morts world roland saves eddie and susannah he saves eddie by curing him of his addiction and bringing susannah whom eddie loves he saves susannah by helping her fuse her former personalities odetta holmes and detta walker into a stronger single personality susannah dean both owe their lives to roland and roland is acutely aware that he may need to sacrifice them to reach the tower each of these people is essential for roland to continue his quest they are all part of a ka tet defined as one made from many and sharing the same destiny
The Gunslinger,Stephen King,it tells the story of the gunslinger roland of gilead and his quest to catch the man in black the first of many steps towards his ultimate destination the dark tower the main story takes place in a world that is somewhat similar to the old west but exists in an alternate time frame or parallel universe to ours roland exists in a place where the world has moved on this world has a few things in common with our own however including memories of the song hey jude and the childs rhyme that begins beans beans the musical fruit vestiges of forgotten or skewed versions of real world technology also appear such as a reference to a gas pump that is worshipped as a god named amoco and an abandoned way station with a water pump which is powered by an atomic slug as roland travels across the desert with his mule in search of the man in black he encounters brown a farmer and zoltan his crow who graciously offers to put him up for the night while he is there we learn of his time spent in tull through a flashback tull was a small town which roland came to not too long before the start of the novel the man in black had passed through the town previously he brought a dead man back to life and left a trap for roland the town itself after roland spends some time there the leader of the local church reveals to him that the man in black has impregnated her and has turned her against roland she turns the entire town on roland men women and children in order to escape with his life roland is forced to kill every resident of the town including his lover allie telling this story seems cathartic for roland when he awakes the next day his mule is dead forcing him to proceed on foot before roland leaves brown asks his permission to eat the mule at the way station roland first encounters jake chambers who died in his own universe presumably our own when he was pushed in front of a car while walking to school in manhattan roland is nearly dead when he makes it to the way station and jake brings him water and jerky while he is recovering jake does not know how long he has been at the way station nor does he know exactly how he got there he hid when the man in black passed by the way station roland hypnotizes him to determine the details of his death but makes him forget before he awakes since jakes death was extremely violent and painful before they leave the way station they encounter a demon in the cellar while looking for food after their palaver roland snatches the jawbone from the skeleton in the hole from which the demon speaks after leaving the way station jake and roland eventually make their way out of the desert into more welcoming lands roland rescues jake from an encounter with an oracle and then couples with the oracle himself in order to learn more about his fate and path to the dark tower roland gives jake the jawbone from the way station to focus on while he is gone after roland returns jake discards the jawbone as jake and roland make their way closer to the mountain jake begins to fear what will become of him in a flashback we learn about rolands chance encounter in a kitchen which leads to the hanging of hax the cook the apprentice gunslingers are allowed to witness the hanging with their fathers permission roland reveals how he was tricked into calling out his teacher cort early through the treachery of marten he succeeded in defeating cort in battle through his ingenious weapon selection his hawk david jake and roland make their way into the twisting tunnels below the mountain propelled along by an ancient mine cart during the journey they are attacked by the slow mutants monstrous subterranean creatures roland fights the slow mutants off and they proceed eventually they find the man in black and as jake dangles precariously from the tracks roland comes to a pivotal choice save jake or pursue the man in black roland chooses to follow the man in black jake tells roland whilst hanging go then there are other worlds than these he lets go of the edge and falls without screaming after sacrificing jake in the mountain roland makes his way down to speak to the man in black the man in black reads rolands fate from a pack of cards including the sailor jake the prisoner eddie dean the lady of shadows odetta holmes death but not for roland and the tower itself as the center of everything the man in black states that he is merely a pawn of rolands true enemy the one who now controls the dark tower itself the man in black creates a representation of the universe attempting to frighten roland by showing him how truly insignificant he is in the grand scheme of things and asks him to give up his quest roland refuses and is made to fall asleep by the man in black when he wakes up ten years have passed and there is a skeleton next to him what he assumes to be the man in black roland then sits on the edge of the western sea contemplating the three people he now is charged with bringing into all world the prisoner the lady of shadows and the pusher
On Writing: A Memoir of the Craft,Stephen King,the first section of on writing is an autobiography mainly about king s early exposure to writing and his childhood attempts at writing king talks about his early attempts to get published and his first novel carrie king also talks about his fame as a writer and what it took to get there this includes his relationship with his wife the death of his mother and his history of drug and alcohol abuse the second section is practical advice on writing including tips on grammar and ideas about developing plot and character king himself describes it as a guide for how a competent writer can become a good one this includes his beliefs that a writer should edit out unnecessary details and avoid the use of unnecessary adverbs he also uses quotes from other books and authors to illustrate his points the third section is also autobiographical in which king discusses the automobile accident in which he was struck by a vehicle while walking down an isolated country road he describes serious injuries his painful recovery and his struggle to start writing again king includes part of a rough draft and an edited draft of his own story entitled in the united kingdom paperback version a short story by garret adams entitled jumper was included at the end of the book which was the winner of the on writing competition
The Body,Stephen King,vern tessio informs his three friends that he has overheard his older brother billy talking with his friend charlie hogan about the location of the corpse of ray brower a boy from chamberlain a town miles or so east of castle rock who has gone missing while going out to pick blueberries with one of his mothers pails the four friends decide that they will find it so as to be famous the boys walk along the railroad tracks toward the presumed location of the corpse along the way they trespass at the town dump and are chased by trash man milo pressmans dog chopper milo insults teddys father which causes teddy to unleash his anger on milo gordie and vern are nearly run over by a train while crossing a bridge while at a resting point chris predicts that gordie will grow up to become a famous writer perhaps he will even write about his friends one day when they finally find the spot where the body lies a gang of bullies arrives just after they do the gang is composed of verns older brother billy charlie hogan chriss older brother richard eyeball chambers norman fuzzy bracowicz john ace merrill and two others the older boys are upset to see the four friends and during an argument chris pulls a gun belonging to his father from his bag back that he took from his home and fires into the air and then threatens ace the leader of the gang after a brief standoff ace realizes that chris is serious and the teenagers leave having seen the body the boys realize that there is nothing else to be done with it and return home without further incident the older boys ultimately decide to phone in the location of the body as an anonymous tip and it is eventually found by the authorities as a result some days after the confrontation ace and fuzzy break gordies nose and fingers and kick him in the testicles and are on the verge of harming him more seriously when they are run off by gordies neighbor aunt evvie chalmers chriss brother breaks his arm and leaves his face looking like a canadian sunrise teddy and vern get less severe beatings the boys refuse to identify their assailants to the authorities and there are no further repercussions the narration then goes into fast forward gordon describes the next year or so briefly stating that teddy and vern drift off befriending some younger boys in high school just as chris predicted gordie begins taking college preparation courses unexpectedly so does chris in spite of abuse from his father taunts from his classmates and distrust from teachers and school counselors he manages to be successful with help from gordie the final two chapters describe the fate of gordies three friends none of whom survive past young adulthood vern is killed in a house fire after a party teddy while under the influence of alcohol and drugs crashes his car and he and his passengers are killed chris who became an outstanding high school and college student and was in his second year of law school is stabbed to death after trying to stop an argument in a fast food restaurant gordon the only survivor continues to write stories through college and publishes a number of them in small literary journals and mens magazines his first novel becomes a best seller and a successful film at the time of writing about the events in he has written seven novels about the supernatural gordon has a wife and three children gordon is also revealed to be a veteran of the vietnam war and the counter culture of the s occasionally referred to in the flash forward narratives during the main story another story from different seasons rita hayworth and the shawshank redemption is referenced in this story shawshank is described as one of maines state prisons ray brower the boy who went missing and the reason gordie chris teddy and vern took the camping trip to back harlow road is from chamberlain which is the setting for the kings first novel carrie carrie which takes place over ten years later but was written eight years earlier features a reference to a teddy duchamp but he is clearly not the same person as the teddy of the novella jerusalems lot from the novel salems lot is referenced when the boys first listen to gordies lard ass story the novel cujo is referenced when gordie compares the dog chopper to cujo aunt evvie chalmers is a minor character in cujo which is set twenty years later a constable bannerman is mentioned in the story but he clearly is not the same person as george bannerman the county sheriff who appears in cujo and the dead zone ace merrill and vern tessio later appear in nona a short story from the collection skeleton crew ace merrill later appears in the last king novel set in castle rock needful things as mr gaunts employee he also remembers the happenings of the body when four snot nosed kids cheated him and his friends out of something they wanted aunt evvie appears again in a flashback narrative told from the perspective of her niece polly one of the major characters in the story in lisa rogaks unauthorized biography haunted heart the life and times of stephen king an accusation is made that an old friend of kings george mcleod was delighted to read that kings story the body was dedicated to him well into the story however mcleod was shocked to learn that the story was about four boys that ventured off into the woods on an adventure mcleod claimed that king had cribbed the idea from a short story he wrote and requested a portion of the royalties from the body and stand by me king refused mcleod sued and the two were no longer friends since that time king has refused fan requests to read manuscripts for advice claiming that he is concerned that there can be further accusations of plagiarism in the future
Wizard and Glass,Stephen King,the novel begins where the waste lands ended after jake eddie susannah and roland fruitlessly riddle blaine the mono for several hours eddie defeats the mad computer by telling childish jokes blaine is unable to handle eddies illogical riddles and short circuits the four gunslingers and oy the billy bumbler disembark at the topeka railway station which to their surprise is located in the topeka kansas of the s the city is deserted as this version of the world has been depopulated by the influenza of kings novel the stand links between these books also include the following reference to the walkin dude from the stand on page someone had spray painted over both signs marking the ramps ascending curve on the one reading st louis someone had slashed watch out for the walking dude king pg among others the world also has some other minor differences with the one or more known to eddie jake and susannah for instance the kansas city baseball team is the monarchs as opposed to the royals and nozz a la is a popular soft drink the ka tet leaves the city via the kansas turnpike and as they camp one night next to an eerie dimensional hole which roland calls a thinny the gunslinger tells his apprentices of his past and his first encounter with a thinny at the beginning of the story within the story roland age fourteen earns his guns an episode retold in the inaugural issue of the gunslinger born and becomes the youngest gunslinger in memory he did it because he discovered his fathers trusted counsellor the sorcerer marten broadcloak having an affair with his mother gabrielle deschain in anger roland challenges his mentor cort to a duel to earn his guns roland bests his teacher and his father sends him east away from gilead for his own protection roland leaves with two companions cuthbert allgood and alain johns soon after their arrival in the distant barony of mejis roland falls in love with susan delgado the promised gilly of thorin the mayor his love for susan delgado clouds his reasoning for a time and nearly results in a permanent split between him and his previously inseparable friend cuthbert he and his ka tet also discover a plot between the baronys elite and the good man john farson leader of a rebel faction to fuel farsons war machines with mejis oil after being seized by the authorities on trumped up charges of murdering the baronys mayor and chancellor rolands ka tet manages to escape jail with susans help destroy the oil and the detachment farson sent to transport it as well as the mejis traitors the battle ends at eyebolt canyon where farsons troops are maneuvered into charging to their deaths into a thinny the ka tet also captures the pink colored wizards glass a mystical malevolent orb or crystal ball from the town witch rhea of the c os the globe had entranced rhea so much that she was starving herself and her pets to death because she spent every free moment watching the visions in the orb the glass then shows roland a vision of his future and also of susans death she is burned as a harvest sacrifice for colluding with roland the visions send him into a stupor from which he eventually recovers at which point the glass torments him with other visions this time of events that he was not present for but nonetheless shaped his fate and susans such is the nature of the wizards glass thus rolands sad tale comes to a close in the morning rolands new ka tet comes to a suspiciously familiar emerald city the wizard of oz parallels continue inside where the wizard is revealed to be marten broadcloak also known as randall flagg who flees when roland attempts to kill him with jakes ruger and narrowly misses flagg has bewitched rolands own guns saying only misfires against me roland old fellow in his place he leaves maerlyns grapefruit which shows the ka tet the day roland accidentally killed his own mother roland it has been explained time and again tends to be very bad medicine for his friends and loved ones nonetheless when given the choice eddie susannah and jake all refuse to swear off the quest and as the novel closes the ka tet once more sets off for the dark tower following the path of the beam
The Waste Lands,Stephen King,the story begins five weeks after the end of the drawing of the three roland susannah and eddie have moved east from the shore of the western sea and into the woods of out world after an encounter with a gigantic cyborg bear named shardik they discover one of the six mystical beams that hold the world together the three gunslingers follow the path of the beam inland to mid world roland now reveals to his ka tet that his mind has become divided by the paradox of having let jake chambers die under the mountain after finding him at the way station in the desert and yet also after having subsequently prevented jakes earlier death in new york city having an alternate memory of traveling through the desert and mountains alone meanwhile in new york jake chambers is experiencing exactly the same crippling mental divide which is causing alarm at his private school and angering jakes cocaine abusing father roland burns walters jawbone and the key to his and jakes dilemma is revealed but to eddie dean not roland eddie must carve a key that will open the door to new york in jake in a schizophrenic panic abruptly leaves school after purchasing a childrens book called charlie the choo choo at a used book shop jake finds a key in a littered vacant lot where grows a single red rose jake is able to pass into rolands world using the key to open a door in an abandoned haunted house on dutch hill in his place and time this portal ends in a speaking ring in rolands world during this crossing over susannah has sex with the demon of the speaking ring to keep it from attacking eddie once the group is reunited jakes and rolands mental anguish ends following the path of the beam again the ka tet befriends an unusually intelligent billy bumbler which looks like a combination of badger raccoon and dog with parrot like speaking ability long neck curly tail retractable claws and a high degree of animal intelligence named oy who joins them on their quest in a small almost deserted town called river crossing roland is given a silver cross and a courtly tribute by the towns last ancient citizens the ka tet continue on the path of the beam to lud before arriving at lud the ka tet hear the drum beat from the song velcro fly by zz top playing from the city although eddie at first cant remember where it is he has heard these drums before later the drums are revealed as war drums which luds citizens fight to the ancient high tech city has been ravaged by decades of war and one of the surviving fighters gasher kidnaps jake by taking advantage of the near accident the team faced while crossing a decaying bridge that looks like the george washington bridge of nyc roland and oy must then trace them through a man made labyrinth in the city and then into the sewers in order to rescue the boy from gasher and his leader the tick tock man jake manages to shoot the tick tock man leaving him for dead the ka tet is eventually reunited at the cradle of lud a train station which houses a monorail that the travelers use to escape lud before its final destruction brought about by the monorails artificial intelligence known as blaine the mono the ageless stranger an enemy whom the man in black warned roland that he must slay arrives to recruit the badly injured tick tock man as his servant once aboard blaine a highly intelligent computerized train which is insane due to system degradation it announces its intention to derail itself with them aboard unless they can defeat it in a riddle contest the novel ends with blaine and rolands ka tet speeding through the waste lands a radioactive land of mutated animals and ancient ruins created by something that is claimed to have been far worse than a nuclear war on the way to topeka the end of the line
